epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.527902,0.262960,1.269735,0.410000,1.000000e-02
2,1.325254,0.371340,1.138248,0.485800,1.000000e-02
3,1.241507,0.412780,1.056010,0.524200,1.000000e-02
4,1.189167,0.439900,1.022016,0.545800,1.000000e-02
5,1.143866,0.468120,0.937233,0.583700,1.000000e-02
6,1.104630,0.488960,0.904987,0.601200,1.000000e-02
7,1.080035,0.502840,0.884192,0.616300,1.000000e-02
8,1.050913,0.516020,0.855434,0.629500,1.000000e-02
9,1.034206,0.528220,0.831760,0.638600,1.000000e-02
10,1.017050,0.534660,0.817657,0.647300,1.000000e-02
11,1.000435,0.546520,0.790174,0.651300,1.000000e-02
12,0.986639,0.553920,0.777661,0.663600,1.000000e-02
13,0.981021,0.558460,0.783901,0.667600,1.000000e-02
14,0.973395,0.561480,0.761827,0.671000,1.000000e-02
15,0.965671,0.567520,0.755841,0.673200,1.000000e-02
16,0.956966,0.571180,0.737835,0.682700,1.000000e-02
17,0.948670,0.573400,0.738289,0.685900,1.000000e-02
18,0.944070,0.577580,0.734706,0.691700,1.000000e-02
19,0.937377,0.582140,0.727722,0.690200,1.000000e-02
20,0.935970,0.581800,0.724614,0.695300,1.000000e-02
21,0.925799,0.587740,0.709447,0.698800,1.000000e-02
22,0.923078,0.587160,0.717489,0.699700,1.000000e-02
23,0.918531,0.591380,0.705622,0.698900,1.000000e-02
24,0.911764,0.594700,0.696734,0.706700,1.000000e-02
25,0.906852,0.597740,0.692739,0.710700,1.000000e-02
26,0.909255,0.597280,0.692043,0.710400,1.000000e-02
27,0.901243,0.600700,0.686609,0.706900,1.000000e-02
28,0.901569,0.600240,0.683752,0.711700,1.000000e-02
29,0.900025,0.600900,0.687257,0.710800,1.000000e-02
30,0.896127,0.602860,0.667825,0.720000,1.000000e-02
31,0.885643,0.608320,0.665749,0.721800,1.000000e-02
32,0.892838,0.606420,0.671559,0.717800,1.000000e-02
33,0.883654,0.608500,0.668921,0.719200,1.000000e-02
34,0.882922,0.609280,0.670228,0.716300,1.000000e-02
35,0.878654,0.611780,0.660320,0.726900,1.000000e-02
36,0.880539,0.612680,0.669944,0.721300,1.000000e-02
37,0.880620,0.612880,0.654669,0.727200,1.000000e-02
38,0.878423,0.613480,0.675557,0.718500,1.000000e-02
39,0.874142,0.614000,0.667712,0.729700,1.000000e-02
40,0.871695,0.617480,0.650863,0.731600,1.000000e-02
41,0.872102,0.616740,0.650728,0.729200,1.000000e-02
42,0.865650,0.620880,0.642778,0.733100,1.000000e-02
43,0.866492,0.621260,0.643822,0.733500,1.000000e-02
44,0.864115,0.619180,0.639307,0.730400,1.000000e-02
45,0.864391,0.621880,0.644586,0.731400,1.000000e-02
46,0.860751,0.624400,0.646384,0.730600,1.000000e-02
47,0.862051,0.620980,0.638878,0.737000,1.000000e-02
48,0.858251,0.628020,0.651894,0.739500,1.000000e-02
49,0.858815,0.626900,0.639027,0.735900,1.000000e-02
50,0.855234,0.627420,0.646708,0.734700,1.000000e-02
51,0.858921,0.624940,0.637353,0.735800,1.000000e-02
52,0.854132,0.626000,0.638796,0.736000,1.000000e-02
53,0.855284,0.628260,0.624830,0.744900,1.000000e-02
54,0.858275,0.625180,0.630770,0.742600,1.000000e-02
55,0.859412,0.624960,0.627340,0.744500,1.000000e-02
56,0.856182,0.624320,0.630229,0.749600,1.000000e-02
57,0.852817,0.627360,0.636609,0.740200,1.000000e-02
58,0.851426,0.628140,0.629966,0.739500,1.000000e-02
59,0.848906,0.629380,0.637349,0.735100,1.000000e-02
60,0.849142,0.629280,0.626898,0.745300,1.000000e-02
61,0.824389,0.642360,0.602525,0.753000,2.000000e-03
62,0.816227,0.644440,0.602994,0.752400,2.000000e-03
63,0.814672,0.646540,0.599638,0.755800,2.000000e-03
64,0.815483,0.648000,0.597887,0.755600,2.000000e-03
65,0.811957,0.648320,0.590494,0.758500,2.000000e-03
66,0.807755,0.648920,0.593241,0.757600,2.000000e-03
67,0.806630,0.651580,0.596150,0.753300,2.000000e-03
68,0.806110,0.654160,0.593081,0.759400,2.000000e-03
69,0.802426,0.653340,0.590052,0.756500,2.000000e-03
70,0.805183,0.651140,0.587752,0.760200,2.000000e-03
71,0.802970,0.653940,0.586213,0.759800,2.000000e-03
72,0.801446,0.655180,0.584000,0.761300,2.000000e-03
73,0.799198,0.655620,0.583893,0.760700,2.000000e-03
74,0.798804,0.656160,0.584100,0.762700,2.000000e-03
75,0.798935,0.655980,0.584554,0.760700,2.000000e-03
76,0.801753,0.653180,0.584120,0.760100,2.000000e-03
77,0.794230,0.656960,0.584412,0.758300,2.000000e-03
78,0.792748,0.658680,0.585396,0.760500,2.000000e-03
79,0.796212,0.657200,0.582775,0.761200,2.000000e-03
80,0.795211,0.658060,0.583363,0.759900,2.000000e-03
81,0.794429,0.656200,0.585567,0.761000,2.000000e-03
82,0.796855,0.655800,0.581786,0.763000,2.000000e-03
83,0.790876,0.660800,0.577946,0.765700,2.000000e-03
84,0.791325,0.659380,0.577369,0.764700,2.000000e-03
85,0.789219,0.660740,0.576595,0.765000,2.000000e-03
86,0.791261,0.658120,0.578070,0.764600,2.000000e-03
87,0.790163,0.660160,0.577982,0.764600,2.000000e-03
88,0.792964,0.659260,0.574346,0.763600,2.000000e-03
89,0.788840,0.660380,0.575476,0.764600,2.000000e-03
90,0.791754,0.660800,0.578063,0.766100,2.000000e-03
91,0.790673,0.661900,0.577791,0.765000,2.000000e-03
92,0.791433,0.660280,0.578154,0.763400,2.000000e-03
93,0.788962,0.661500,0.577688,0.766400,2.000000e-03
94,0.786483,0.662080,0.569951,0.770500,2.000000e-03
95,0.785537,0.661220,0.578149,0.763900,2.000000e-03
96,0.788980,0.661280,0.574069,0.764000,2.000000e-03
97,0.784083,0.660420,0.575258,0.765800,2.000000e-03
98,0.786366,0.661220,0.572954,0.766500,2.000000e-03
99,0.786702,0.660240,0.578795,0.766100,2.000000e-03
100,0.782993,0.662700,0.568194,0.772200,2.000000e-03
101,0.786905,0.660560,0.572329,0.765600,2.000000e-03
102,0.778532,0.664400,0.569904,0.765200,2.000000e-03
103,0.784559,0.660800,0.567391,0.768700,2.000000e-03
104,0.786191,0.660400,0.570027,0.770600,2.000000e-03
105,0.786797,0.663220,0.571681,0.768500,2.000000e-03
106,0.782087,0.665120,0.570581,0.764700,2.000000e-03
107,0.788167,0.662020,0.571538,0.766700,2.000000e-03
108,0.783427,0.664860,0.572297,0.764300,2.000000e-03
109,0.787509,0.660820,0.577601,0.763300,2.000000e-03
110,0.782539,0.664020,0.568235,0.767600,2.000000e-03
111,0.787100,0.662520,0.565766,0.769800,2.000000e-03
112,0.777860,0.666220,0.568345,0.770200,2.000000e-03
113,0.783413,0.664200,0.570171,0.771900,2.000000e-03
114,0.781475,0.666400,0.565271,0.768300,2.000000e-03
115,0.781017,0.666020,0.571617,0.768900,2.000000e-03
116,0.778533,0.667080,0.570625,0.773000,2.000000e-03
117,0.782988,0.661720,0.569904,0.769900,2.000000e-03
118,0.781995,0.663140,0.564758,0.771900,2.000000e-03
119,0.781076,0.663580,0.566481,0.771000,2.000000e-03
120,0.780763,0.663640,0.562894,0.772700,2.000000e-03
121,0.772200,0.670380,0.563585,0.769600,4.000000e-04
122,0.775329,0.668620,0.561583,0.772000,4.000000e-04
123,0.769125,0.668660,0.560007,0.772900,4.000000e-04
124,0.771494,0.666640,0.561349,0.772500,4.000000e-04
125,0.772646,0.669240,0.561388,0.771400,4.000000e-04
126,0.769825,0.668700,0.561455,0.772100,4.000000e-04
127,0.770782,0.671920,0.558942,0.771800,4.000000e-04
128,0.770245,0.671260,0.562857,0.772600,4.000000e-04
129,0.768245,0.670720,0.558979,0.772300,4.000000e-04
130,0.767069,0.671680,0.559083,0.773000,4.000000e-04
131,0.766464,0.673560,0.557466,0.773400,4.000000e-04
132,0.769682,0.671520,0.559039,0.773500,4.000000e-04
133,0.774510,0.667280,0.558189,0.774100,4.000000e-04
134,0.771208,0.669060,0.559488,0.771700,4.000000e-04
135,0.774632,0.669260,0.557378,0.772800,4.000000e-04
136,0.766510,0.672040,0.561087,0.770200,4.000000e-04
137,0.771128,0.669120,0.557266,0.772900,4.000000e-04
138,0.768934,0.670560,0.557223,0.773700,4.000000e-04
139,0.767432,0.671860,0.557566,0.773700,4.000000e-04
140,0.769629,0.669940,0.556581,0.773800,4.000000e-04
141,0.766802,0.671740,0.556842,0.774400,4.000000e-04
142,0.768251,0.671320,0.559155,0.773400,4.000000e-04
143,0.770575,0.671100,0.557688,0.772200,4.000000e-04
144,0.772559,0.668680,0.556846,0.773500,4.000000e-04
145,0.767343,0.671460,0.556799,0.774900,4.000000e-04
146,0.768124,0.671680,0.556973,0.773400,4.000000e-04
147,0.766476,0.670160,0.560344,0.772600,4.000000e-04
148,0.771087,0.669400,0.558229,0.775300,4.000000e-04
149,0.767294,0.669940,0.555437,0.774500,4.000000e-04
150,0.765343,0.671200,0.554220,0.776000,4.000000e-04
151,0.768879,0.670340,0.555639,0.775200,4.000000e-04
152,0.767651,0.670020,0.556475,0.774800,4.000000e-04
153,0.764863,0.674720,0.556209,0.775900,4.000000e-04
154,0.765602,0.672080,0.555507,0.774600,4.000000e-04
155,0.767088,0.670360,0.556001,0.775500,4.000000e-04
156,0.768891,0.669440,0.556948,0.774600,4.000000e-04
157,0.763978,0.671780,0.555367,0.775000,4.000000e-04
158,0.765904,0.670720,0.556101,0.775400,4.000000e-04
159,0.764293,0.675840,0.557080,0.774700,4.000000e-04
160,0.763745,0.672940,0.554122,0.775400,4.000000e-04
161,0.766872,0.670760,0.555179,0.775700,8.000000e-05
162,0.763049,0.673180,0.554877,0.774600,8.000000e-05
163,0.766871,0.671260,0.554724,0.776100,8.000000e-05
164,0.761737,0.674200,0.553492,0.775900,8.000000e-05
165,0.761547,0.673280,0.553463,0.777200,8.000000e-05
166,0.762744,0.672320,0.553910,0.776000,8.000000e-05
167,0.767458,0.671140,0.553663,0.775900,8.000000e-05
168,0.761984,0.673740,0.552997,0.776900,8.000000e-05
169,0.763216,0.673980,0.553831,0.776300,8.000000e-05
170,0.762713,0.673920,0.553981,0.775600,8.000000e-05
171,0.764006,0.671960,0.553828,0.776200,8.000000e-05
172,0.762808,0.673960,0.553933,0.776800,8.000000e-05
173,0.763722,0.672700,0.554055,0.775700,8.000000e-05
174,0.763401,0.672020,0.553310,0.775600,8.000000e-05
175,0.762158,0.672860,0.553120,0.775900,8.000000e-05
176,0.766021,0.672400,0.553031,0.777200,8.000000e-05
177,0.762488,0.674860,0.553280,0.776400,8.000000e-05
178,0.764631,0.672340,0.553193,0.776500,8.000000e-05
179,0.764748,0.673740,0.553572,0.776100,8.000000e-05
180,0.763430,0.674780,0.552654,0.777700,8.000000e-05
181,0.762266,0.676200,0.552673,0.776600,8.000000e-05
182,0.763715,0.672600,0.553468,0.776300,8.000000e-05
183,0.764733,0.674820,0.552096,0.776900,8.000000e-05
184,0.760835,0.676400,0.553193,0.775800,8.000000e-05
185,0.761621,0.676540,0.553300,0.776300,8.000000e-05
186,0.764085,0.673360,0.552914,0.777900,8.000000e-05
187,0.763728,0.674260,0.553095,0.776200,8.000000e-05
188,0.763791,0.674200,0.553627,0.776500,8.000000e-05
189,0.764292,0.675600,0.552441,0.777200,8.000000e-05
190,0.764287,0.670920,0.553488,0.776700,8.000000e-05
191,0.766547,0.670240,0.552891,0.776800,8.000000e-05
192,0.765417,0.673680,0.553353,0.776700,8.000000e-05
193,0.762449,0.673700,0.552766,0.777800,8.000000e-05
194,0.767524,0.671900,0.553007,0.777200,8.000000e-05
195,0.766490,0.670560,0.553010,0.777200,8.000000e-05
196,0.761778,0.673880,0.553323,0.776300,8.000000e-05
197,0.765509,0.672640,0.552799,0.776600,8.000000e-05
198,0.763392,0.673900,0.552613,0.775900,8.000000e-05
199,0.763248,0.671700,0.553103,0.775500,8.000000e-05
199,0.761020,0.675100,0.552682,0.777600,8.000000e-05
