epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.554341,0.249360,1.312332,0.392900,1.000000e-02
2,1.356400,0.358620,1.177156,0.465200,1.000000e-02
3,1.265992,0.403280,1.086766,0.511700,1.000000e-02
4,1.215494,0.426580,1.063204,0.527600,1.000000e-02
5,1.174706,0.452380,0.982067,0.566900,1.000000e-02
6,1.134257,0.472160,0.957768,0.581300,1.000000e-02
7,1.115809,0.484700,0.932926,0.598700,1.000000e-02
8,1.087182,0.500680,0.909828,0.614200,1.000000e-02
9,1.072230,0.509640,0.878203,0.620600,1.000000e-02
10,1.056103,0.515280,0.865679,0.623000,1.000000e-02
11,1.042647,0.523940,0.837733,0.638400,1.000000e-02
12,1.030675,0.533000,0.833196,0.636400,1.000000e-02
13,1.020604,0.537320,0.829916,0.649900,1.000000e-02
14,1.017618,0.540260,0.809509,0.653200,1.000000e-02
15,1.008632,0.546540,0.797053,0.658600,1.000000e-02
16,0.999930,0.549560,0.792093,0.656500,1.000000e-02
17,0.992823,0.552840,0.778365,0.672400,1.000000e-02
18,0.986924,0.555400,0.783137,0.666300,1.000000e-02
19,0.983356,0.557640,0.773763,0.672900,1.000000e-02
20,0.979634,0.559640,0.771533,0.673200,1.000000e-02
21,0.967032,0.568700,0.754027,0.678500,1.000000e-02
22,0.968453,0.566560,0.763418,0.678800,1.000000e-02
23,0.963232,0.569280,0.747187,0.683700,1.000000e-02
24,0.957362,0.570480,0.743411,0.686500,1.000000e-02
25,0.947573,0.580360,0.741993,0.692500,1.000000e-02
26,0.948507,0.576720,0.730058,0.694500,1.000000e-02
27,0.942690,0.581780,0.735930,0.687200,1.000000e-02
28,0.944518,0.580800,0.733274,0.695200,1.000000e-02
29,0.938283,0.583960,0.732516,0.698200,1.000000e-02
30,0.934011,0.584540,0.722570,0.698800,1.000000e-02
31,0.931407,0.586640,0.724264,0.699700,1.000000e-02
32,0.931739,0.588400,0.714059,0.702800,1.000000e-02
33,0.930022,0.588580,0.706364,0.703700,1.000000e-02
34,0.926260,0.589400,0.718014,0.698400,1.000000e-02
35,0.919540,0.592820,0.702252,0.708300,1.000000e-02
36,0.917680,0.597320,0.701492,0.704100,1.000000e-02
37,0.919714,0.595360,0.704767,0.709200,1.000000e-02
38,0.916726,0.597080,0.709565,0.706500,1.000000e-02
39,0.914731,0.594540,0.725203,0.696700,1.000000e-02
40,0.912774,0.596100,0.693497,0.717800,1.000000e-02
41,0.911148,0.599720,0.697306,0.708100,1.000000e-02
42,0.907734,0.601300,0.691664,0.713600,1.000000e-02
43,0.906475,0.603740,0.687590,0.713800,1.000000e-02
44,0.903459,0.603620,0.681881,0.716200,1.000000e-02
45,0.909081,0.599440,0.689425,0.710300,1.000000e-02
46,0.901731,0.600620,0.691467,0.710800,1.000000e-02
47,0.902410,0.605080,0.679970,0.717500,1.000000e-02
48,0.898021,0.607420,0.700949,0.716700,1.000000e-02
49,0.902353,0.603600,0.686961,0.715100,1.000000e-02
50,0.895351,0.607120,0.685937,0.713300,1.000000e-02
51,0.900658,0.603840,0.671185,0.719100,1.000000e-02
52,0.892151,0.609860,0.676554,0.719900,1.000000e-02
53,0.896284,0.604600,0.673343,0.718500,1.000000e-02
54,0.895973,0.605920,0.674223,0.723300,1.000000e-02
55,0.895896,0.607880,0.665465,0.722300,1.000000e-02
56,0.892676,0.609880,0.671523,0.726000,1.000000e-02
57,0.891512,0.607800,0.665775,0.721100,1.000000e-02
58,0.892858,0.610400,0.665017,0.727300,1.000000e-02
59,0.888640,0.611880,0.677634,0.719400,1.000000e-02
60,0.891144,0.611840,0.671185,0.729700,1.000000e-02
61,0.865831,0.624740,0.643789,0.735300,2.000000e-03
62,0.856142,0.630140,0.645577,0.733300,2.000000e-03
63,0.857666,0.626940,0.637928,0.737800,2.000000e-03
64,0.853238,0.629380,0.637477,0.736600,2.000000e-03
65,0.847798,0.632880,0.633136,0.737900,2.000000e-03
66,0.850493,0.632600,0.631942,0.739700,2.000000e-03
67,0.844124,0.633280,0.635836,0.738100,2.000000e-03
68,0.846871,0.633760,0.632433,0.742200,2.000000e-03
69,0.842337,0.634900,0.630608,0.739000,2.000000e-03
70,0.841771,0.633960,0.628058,0.741100,2.000000e-03
71,0.836293,0.639060,0.627601,0.741700,2.000000e-03
72,0.839760,0.636420,0.625096,0.743900,2.000000e-03
73,0.839328,0.636020,0.622990,0.741800,2.000000e-03
74,0.837480,0.637120,0.624738,0.745300,2.000000e-03
75,0.837999,0.634140,0.620931,0.743500,2.000000e-03
76,0.836441,0.637580,0.622725,0.744500,2.000000e-03
77,0.835089,0.637280,0.620041,0.743700,2.000000e-03
78,0.831225,0.640400,0.621188,0.743200,2.000000e-03
79,0.836382,0.637960,0.618457,0.743600,2.000000e-03
80,0.833070,0.636720,0.620916,0.745900,2.000000e-03
81,0.830068,0.638460,0.622214,0.743100,2.000000e-03
82,0.835526,0.638520,0.620559,0.744900,2.000000e-03
83,0.831081,0.639200,0.616285,0.747800,2.000000e-03
84,0.828456,0.639780,0.618579,0.744900,2.000000e-03
85,0.824843,0.643740,0.612241,0.748000,2.000000e-03
86,0.833590,0.641320,0.617069,0.743800,2.000000e-03
87,0.830703,0.641100,0.611910,0.748000,2.000000e-03
88,0.829527,0.644100,0.609764,0.750000,2.000000e-03
89,0.829231,0.639600,0.614023,0.745800,2.000000e-03
90,0.831671,0.639920,0.612788,0.750200,2.000000e-03
91,0.827736,0.643100,0.610765,0.747600,2.000000e-03
92,0.825270,0.644160,0.612444,0.748700,2.000000e-03
93,0.825747,0.645680,0.616126,0.745800,2.000000e-03
94,0.822791,0.644020,0.607740,0.750000,2.000000e-03
95,0.820552,0.644860,0.619544,0.745600,2.000000e-03
96,0.826329,0.641960,0.608326,0.748300,2.000000e-03
97,0.821339,0.644600,0.612625,0.746200,2.000000e-03
98,0.823772,0.645180,0.609339,0.748600,2.000000e-03
99,0.822527,0.645440,0.613414,0.745100,2.000000e-03
100,0.820867,0.644940,0.607887,0.750300,2.000000e-03
101,0.825011,0.642380,0.609056,0.748400,2.000000e-03
102,0.817588,0.647700,0.606222,0.748700,2.000000e-03
103,0.821060,0.645240,0.605631,0.750000,2.000000e-03
104,0.824000,0.642980,0.606291,0.747100,2.000000e-03
105,0.818398,0.646960,0.606471,0.752400,2.000000e-03
106,0.817280,0.646840,0.606433,0.749300,2.000000e-03
107,0.822002,0.645660,0.606663,0.749100,2.000000e-03
108,0.825171,0.644740,0.609707,0.749400,2.000000e-03
109,0.819955,0.644320,0.612493,0.748400,2.000000e-03
110,0.817656,0.648120,0.600739,0.753100,2.000000e-03
111,0.819396,0.646100,0.601084,0.751600,2.000000e-03
112,0.816888,0.645920,0.602318,0.753200,2.000000e-03
113,0.819018,0.648140,0.599880,0.754800,2.000000e-03
114,0.816259,0.647960,0.599532,0.750300,2.000000e-03
115,0.815606,0.651060,0.604391,0.749100,2.000000e-03
116,0.816919,0.649000,0.609714,0.753500,2.000000e-03
117,0.819312,0.645460,0.602632,0.751100,2.000000e-03
118,0.816523,0.648280,0.601508,0.752500,2.000000e-03
119,0.818315,0.646020,0.603289,0.751500,2.000000e-03
120,0.821200,0.643580,0.601005,0.756700,2.000000e-03
121,0.809385,0.653200,0.599076,0.753600,4.000000e-04
122,0.810691,0.651600,0.598530,0.756700,4.000000e-04
123,0.807683,0.652980,0.596580,0.754200,4.000000e-04
124,0.806402,0.652520,0.597027,0.754700,4.000000e-04
125,0.809137,0.651700,0.595197,0.755400,4.000000e-04
126,0.807195,0.651040,0.596638,0.756800,4.000000e-04
127,0.806224,0.655080,0.596690,0.755500,4.000000e-04
128,0.804428,0.653700,0.595989,0.755700,4.000000e-04
129,0.803389,0.655220,0.594375,0.755700,4.000000e-04
130,0.806292,0.652060,0.594230,0.755800,4.000000e-04
131,0.802384,0.655740,0.592748,0.757300,4.000000e-04
132,0.804473,0.652820,0.593457,0.754300,4.000000e-04
133,0.808191,0.651160,0.592357,0.756600,4.000000e-04
134,0.804862,0.653160,0.596077,0.755000,4.000000e-04
135,0.806493,0.654540,0.594269,0.756800,4.000000e-04
136,0.806456,0.651340,0.595101,0.756100,4.000000e-04
137,0.806323,0.655080,0.593470,0.757100,4.000000e-04
138,0.804115,0.654280,0.593866,0.756400,4.000000e-04
139,0.803984,0.655680,0.593106,0.756000,4.000000e-04
140,0.805164,0.650320,0.593607,0.756000,4.000000e-04
141,0.803785,0.653640,0.592631,0.757800,4.000000e-04
142,0.805974,0.650160,0.592871,0.757700,4.000000e-04
143,0.805250,0.655980,0.593691,0.756300,4.000000e-04
144,0.807832,0.652480,0.592647,0.756600,4.000000e-04
145,0.801393,0.655820,0.592784,0.759100,4.000000e-04
146,0.801392,0.657900,0.590742,0.757300,4.000000e-04
147,0.801032,0.654980,0.593310,0.755400,4.000000e-04
148,0.804016,0.652040,0.591417,0.758800,4.000000e-04
149,0.804291,0.654840,0.588832,0.758600,4.000000e-04
150,0.799479,0.657200,0.590037,0.757700,4.000000e-04
151,0.803304,0.654940,0.590641,0.756700,4.000000e-04
152,0.803362,0.654740,0.591106,0.756700,4.000000e-04
153,0.800548,0.655620,0.590887,0.757700,4.000000e-04
154,0.801717,0.655000,0.589896,0.756700,4.000000e-04
155,0.801311,0.655580,0.590728,0.757400,4.000000e-04
156,0.803229,0.653540,0.590727,0.757200,4.000000e-04
157,0.798962,0.656100,0.589434,0.756800,4.000000e-04
158,0.803425,0.654440,0.588616,0.758300,4.000000e-04
159,0.799803,0.655720,0.589937,0.756400,4.000000e-04
160,0.799689,0.656320,0.588477,0.758300,4.000000e-04
161,0.802061,0.652500,0.590039,0.757100,8.000000e-05
162,0.798399,0.657320,0.589041,0.756600,8.000000e-05
163,0.800213,0.656540,0.589273,0.756000,8.000000e-05
164,0.794759,0.659100,0.588207,0.758900,8.000000e-05
165,0.799773,0.656640,0.587894,0.757300,8.000000e-05
166,0.802421,0.652840,0.588513,0.757900,8.000000e-05
167,0.801181,0.657680,0.588008,0.758800,8.000000e-05
168,0.797856,0.656520,0.587765,0.758400,8.000000e-05
169,0.799461,0.656620,0.588074,0.758800,8.000000e-05
170,0.796647,0.656900,0.587787,0.758000,8.000000e-05
171,0.796726,0.658480,0.588352,0.757700,8.000000e-05
172,0.798069,0.659800,0.588431,0.757800,8.000000e-05
173,0.796921,0.657620,0.587453,0.757500,8.000000e-05
174,0.797856,0.658260,0.587575,0.758200,8.000000e-05
175,0.796592,0.657360,0.587649,0.758300,8.000000e-05
176,0.800698,0.657260,0.588133,0.758300,8.000000e-05
177,0.797874,0.658160,0.587464,0.758300,8.000000e-05
178,0.796082,0.658780,0.587696,0.759100,8.000000e-05
179,0.800208,0.655880,0.587633,0.758500,8.000000e-05
180,0.799811,0.655900,0.586983,0.759800,8.000000e-05
181,0.798560,0.660320,0.587296,0.758300,8.000000e-05
182,0.798610,0.655720,0.587889,0.759700,8.000000e-05
183,0.798735,0.656500,0.587413,0.758800,8.000000e-05
184,0.796953,0.656520,0.588324,0.757600,8.000000e-05
185,0.797575,0.657580,0.587482,0.758900,8.000000e-05
186,0.802277,0.656220,0.587884,0.758700,8.000000e-05
187,0.800044,0.658460,0.586987,0.759500,8.000000e-05
188,0.798230,0.657200,0.587594,0.758700,8.000000e-05
189,0.799861,0.656760,0.586819,0.760000,8.000000e-05
190,0.800056,0.655500,0.587479,0.758400,8.000000e-05
191,0.799731,0.657380,0.587423,0.758100,8.000000e-05
192,0.798770,0.656640,0.587262,0.758400,8.000000e-05
193,0.796983,0.659060,0.587344,0.758500,8.000000e-05
194,0.798964,0.655160,0.586900,0.759400,8.000000e-05
195,0.800771,0.656600,0.587233,0.759000,8.000000e-05
196,0.794375,0.659180,0.586968,0.759000,8.000000e-05
197,0.801788,0.657640,0.586781,0.759600,8.000000e-05
198,0.793332,0.660340,0.586352,0.759500,8.000000e-05
199,0.798620,0.658780,0.586552,0.758600,8.000000e-05
199,0.796102,0.657400,0.586857,0.759100,8.000000e-05
