epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.500673,0.273500,1.215545,0.435300,1.000000e-02
2,1.285471,0.388820,1.083851,0.509900,1.000000e-02
3,1.199824,0.428900,1.015958,0.527500,1.000000e-02
4,1.142876,0.461360,0.955715,0.557500,1.000000e-02
5,1.092416,0.492240,0.879668,0.598300,1.000000e-02
6,1.061462,0.509600,0.851934,0.624100,1.000000e-02
7,1.035341,0.525600,0.830340,0.627300,1.000000e-02
8,1.007621,0.540600,0.797501,0.647600,1.000000e-02
9,0.992356,0.547840,0.786658,0.652100,1.000000e-02
10,0.973328,0.559240,0.766760,0.664500,1.000000e-02
11,0.960277,0.564040,0.751404,0.665500,1.000000e-02
12,0.948022,0.572700,0.746461,0.669700,1.000000e-02
13,0.931328,0.584360,0.728563,0.684700,1.000000e-02
14,0.933056,0.582580,0.718159,0.687400,1.000000e-02
15,0.918738,0.587200,0.707520,0.693000,1.000000e-02
16,0.912205,0.593040,0.699976,0.698700,1.000000e-02
17,0.904963,0.597720,0.681717,0.706600,1.000000e-02
18,0.891465,0.603600,0.704621,0.693300,1.000000e-02
19,0.889964,0.602640,0.674040,0.708400,1.000000e-02
20,0.882365,0.610600,0.675637,0.708300,1.000000e-02
21,0.876086,0.611420,0.657151,0.722300,1.000000e-02
22,0.872730,0.611080,0.653299,0.723200,1.000000e-02
23,0.865597,0.618940,0.661705,0.716500,1.000000e-02
24,0.861471,0.622440,0.650491,0.722500,1.000000e-02
25,0.858895,0.622920,0.671310,0.709900,1.000000e-02
26,0.858622,0.620940,0.648169,0.726800,1.000000e-02
27,0.856038,0.623740,0.641352,0.728000,1.000000e-02
28,0.850432,0.625840,0.630876,0.732600,1.000000e-02
29,0.844370,0.628320,0.649273,0.720100,1.000000e-02
30,0.843171,0.629980,0.624084,0.737800,1.000000e-02
31,0.841008,0.632820,0.626109,0.738400,1.000000e-02
32,0.841623,0.630660,0.619031,0.737000,1.000000e-02
33,0.833727,0.634000,0.637107,0.731500,1.000000e-02
34,0.830908,0.636400,0.622421,0.735100,1.000000e-02
35,0.831806,0.635860,0.614270,0.744800,1.000000e-02
36,0.830292,0.636560,0.611227,0.740300,1.000000e-02
37,0.824735,0.639600,0.608269,0.743300,1.000000e-02
38,0.828679,0.635920,0.618533,0.739600,1.000000e-02
39,0.823520,0.644260,0.615090,0.741200,1.000000e-02
40,0.821916,0.640460,0.611750,0.747100,1.000000e-02
41,0.824861,0.640660,0.616979,0.738600,1.000000e-02
42,0.820177,0.643600,0.602459,0.749700,1.000000e-02
43,0.819409,0.642280,0.596846,0.744700,1.000000e-02
44,0.813896,0.646320,0.594309,0.750300,1.000000e-02
45,0.820303,0.642960,0.605562,0.744200,1.000000e-02
46,0.811248,0.647000,0.611925,0.743000,1.000000e-02
47,0.814876,0.645560,0.596512,0.746800,1.000000e-02
48,0.808070,0.647980,0.603187,0.752900,1.000000e-02
49,0.815203,0.646540,0.601663,0.742400,1.000000e-02
50,0.806278,0.649000,0.592106,0.748100,1.000000e-02
51,0.810396,0.649840,0.581454,0.754300,1.000000e-02
52,0.810367,0.648620,0.598386,0.746900,1.000000e-02
53,0.809870,0.645740,0.575549,0.758800,1.000000e-02
54,0.806371,0.650560,0.581202,0.755500,1.000000e-02
55,0.802822,0.650380,0.590575,0.755000,1.000000e-02
56,0.804950,0.651400,0.582144,0.759900,1.000000e-02
57,0.804020,0.650560,0.600621,0.744100,1.000000e-02
58,0.803661,0.649440,0.602551,0.748700,1.000000e-02
59,0.799650,0.652760,0.586743,0.754700,1.000000e-02
60,0.793142,0.656260,0.591504,0.751600,1.000000e-02
61,0.769461,0.666080,0.563062,0.764800,2.000000e-03
62,0.762947,0.670020,0.555633,0.766200,2.000000e-03
63,0.759152,0.672380,0.554667,0.767300,2.000000e-03
64,0.761680,0.672120,0.553548,0.766600,2.000000e-03
65,0.757263,0.672860,0.548610,0.770100,2.000000e-03
66,0.757738,0.676480,0.548496,0.772800,2.000000e-03
67,0.750143,0.675180,0.550107,0.770400,2.000000e-03
68,0.750539,0.679780,0.542258,0.776800,2.000000e-03
69,0.746308,0.678040,0.553413,0.767600,2.000000e-03
70,0.750583,0.675820,0.545754,0.771800,2.000000e-03
71,0.748919,0.677020,0.550071,0.769600,2.000000e-03
72,0.749918,0.677200,0.540525,0.777800,2.000000e-03
73,0.749337,0.678140,0.543693,0.772800,2.000000e-03
74,0.749005,0.680280,0.543552,0.774400,2.000000e-03
75,0.743734,0.681080,0.548181,0.769400,2.000000e-03
76,0.748241,0.677680,0.546914,0.773000,2.000000e-03
77,0.745846,0.679780,0.542399,0.777900,2.000000e-03
78,0.747013,0.679320,0.541159,0.774600,2.000000e-03
79,0.745849,0.678480,0.546667,0.769500,2.000000e-03
80,0.745293,0.680240,0.542334,0.772400,2.000000e-03
81,0.746945,0.679340,0.535889,0.776000,2.000000e-03
82,0.746182,0.681100,0.537299,0.777500,2.000000e-03
83,0.745550,0.682020,0.533363,0.782000,2.000000e-03
84,0.745283,0.678960,0.533685,0.779900,2.000000e-03
85,0.739622,0.681440,0.538175,0.775000,2.000000e-03
86,0.743500,0.680280,0.538803,0.777000,2.000000e-03
87,0.738688,0.682280,0.537266,0.778400,2.000000e-03
88,0.741345,0.682120,0.537499,0.777600,2.000000e-03
89,0.737952,0.684460,0.531264,0.780000,2.000000e-03
90,0.741748,0.681120,0.535314,0.782000,2.000000e-03
91,0.739564,0.685600,0.532538,0.782300,2.000000e-03
92,0.739484,0.680120,0.539425,0.775300,2.000000e-03
93,0.738424,0.684700,0.534860,0.782400,2.000000e-03
94,0.743117,0.682160,0.534400,0.777600,2.000000e-03
95,0.738634,0.681480,0.542718,0.776300,2.000000e-03
96,0.740257,0.685520,0.536535,0.776800,2.000000e-03
97,0.741971,0.680960,0.531034,0.782100,2.000000e-03
98,0.739766,0.682820,0.535583,0.779800,2.000000e-03
99,0.734521,0.685520,0.534261,0.779000,2.000000e-03
100,0.737678,0.680940,0.533057,0.779400,2.000000e-03
101,0.738094,0.684360,0.534531,0.782300,2.000000e-03
102,0.734958,0.686120,0.533159,0.780500,2.000000e-03
103,0.736600,0.684200,0.532006,0.781100,2.000000e-03
104,0.734094,0.686400,0.539842,0.776100,2.000000e-03
105,0.738294,0.682880,0.532944,0.782700,2.000000e-03
106,0.735788,0.685440,0.532669,0.778400,2.000000e-03
107,0.733490,0.684340,0.532717,0.779500,2.000000e-03
108,0.736359,0.685420,0.529041,0.783900,2.000000e-03
109,0.737422,0.683880,0.534453,0.777000,2.000000e-03
110,0.731928,0.685960,0.528381,0.783700,2.000000e-03
111,0.738018,0.684480,0.530012,0.783100,2.000000e-03
112,0.733700,0.688020,0.539235,0.775200,2.000000e-03
113,0.730700,0.689020,0.531506,0.781500,2.000000e-03
114,0.732924,0.685400,0.528260,0.781500,2.000000e-03
115,0.734837,0.686200,0.527846,0.784200,2.000000e-03
116,0.729210,0.688340,0.525879,0.786600,2.000000e-03
117,0.730603,0.688340,0.526699,0.783700,2.000000e-03
118,0.736642,0.684020,0.522103,0.785900,2.000000e-03
119,0.732865,0.686220,0.529236,0.780000,2.000000e-03
120,0.734318,0.687800,0.526298,0.784200,2.000000e-03
121,0.726204,0.688860,0.524410,0.785400,4.000000e-04
122,0.723253,0.689620,0.521916,0.786900,4.000000e-04
123,0.721306,0.692900,0.521452,0.784600,4.000000e-04
124,0.722845,0.690860,0.521496,0.785000,4.000000e-04
125,0.724376,0.690600,0.526403,0.782600,4.000000e-04
126,0.720926,0.691660,0.524602,0.784500,4.000000e-04
127,0.719814,0.694340,0.520473,0.785500,4.000000e-04
128,0.723684,0.693940,0.522178,0.787400,4.000000e-04
129,0.719015,0.692800,0.524282,0.784000,4.000000e-04
130,0.723061,0.693360,0.522706,0.787500,4.000000e-04
131,0.723512,0.689960,0.519283,0.785000,4.000000e-04
132,0.719379,0.694040,0.521304,0.786000,4.000000e-04
133,0.721882,0.691300,0.520269,0.786600,4.000000e-04
134,0.719917,0.694240,0.524620,0.783200,4.000000e-04
135,0.724880,0.690900,0.520862,0.788600,4.000000e-04
136,0.724458,0.691380,0.522074,0.785100,4.000000e-04
137,0.720844,0.691740,0.519224,0.786800,4.000000e-04
138,0.720519,0.693100,0.518848,0.786500,4.000000e-04
139,0.719256,0.693760,0.518597,0.786000,4.000000e-04
140,0.720094,0.690120,0.519083,0.787900,4.000000e-04
141,0.718735,0.694000,0.518793,0.787200,4.000000e-04
142,0.723017,0.689480,0.521566,0.787500,4.000000e-04
143,0.719613,0.691820,0.519828,0.787700,4.000000e-04
144,0.718968,0.690820,0.519071,0.787100,4.000000e-04
145,0.723674,0.690640,0.519788,0.788500,4.000000e-04
146,0.718750,0.694560,0.520681,0.787700,4.000000e-04
147,0.718041,0.693920,0.518573,0.787700,4.000000e-04
148,0.718938,0.693920,0.519295,0.787800,4.000000e-04
149,0.718214,0.694280,0.518185,0.787500,4.000000e-04
150,0.716982,0.694540,0.518557,0.788000,4.000000e-04
151,0.718553,0.693160,0.518489,0.788600,4.000000e-04
152,0.717749,0.695600,0.518358,0.787100,4.000000e-04
153,0.719727,0.693780,0.518649,0.787500,4.000000e-04
154,0.719177,0.695220,0.518346,0.787600,4.000000e-04
155,0.718254,0.695460,0.519024,0.786800,4.000000e-04
156,0.720258,0.692900,0.521081,0.787100,4.000000e-04
157,0.717378,0.692900,0.517420,0.789400,4.000000e-04
158,0.718917,0.691420,0.519209,0.786100,4.000000e-04
159,0.716567,0.694340,0.517691,0.789100,4.000000e-04
160,0.717917,0.693060,0.518288,0.789200,4.000000e-04
161,0.717014,0.692300,0.516920,0.789700,8.000000e-05
162,0.717858,0.691080,0.517485,0.788900,8.000000e-05
163,0.720408,0.694820,0.517346,0.788400,8.000000e-05
164,0.712048,0.697540,0.517008,0.789400,8.000000e-05
165,0.718625,0.692440,0.516574,0.788700,8.000000e-05
166,0.717053,0.693440,0.518285,0.789100,8.000000e-05
167,0.719527,0.695460,0.518039,0.788300,8.000000e-05
168,0.717779,0.693480,0.516986,0.789600,8.000000e-05
169,0.716376,0.695000,0.517714,0.788400,8.000000e-05
170,0.714783,0.694480,0.517166,0.787400,8.000000e-05
171,0.716253,0.695740,0.517166,0.789300,8.000000e-05
172,0.717005,0.695660,0.517479,0.788800,8.000000e-05
173,0.717469,0.692900,0.515974,0.788900,8.000000e-05
174,0.715242,0.693140,0.516637,0.789300,8.000000e-05
175,0.713937,0.693960,0.516098,0.788800,8.000000e-05
176,0.711935,0.696960,0.517329,0.788800,8.000000e-05
177,0.714240,0.696000,0.517344,0.787500,8.000000e-05
178,0.716105,0.695240,0.517109,0.788300,8.000000e-05
179,0.716249,0.694180,0.516475,0.788400,8.000000e-05
180,0.716989,0.693920,0.516876,0.788100,8.000000e-05
181,0.715210,0.694420,0.515447,0.789600,8.000000e-05
182,0.716390,0.694580,0.516936,0.788900,8.000000e-05
183,0.715441,0.696500,0.516385,0.789000,8.000000e-05
184,0.711315,0.697600,0.515671,0.789300,8.000000e-05
185,0.717851,0.695060,0.516401,0.789100,8.000000e-05
