epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.240241,0.396880,1.062068,0.496300,1.000000e-01
2,0.860798,0.599740,0.797182,0.642800,1.000000e-01
3,0.680680,0.692020,0.716876,0.683000,1.000000e-01
4,0.569316,0.747800,0.574595,0.750400,1.000000e-01
5,0.503954,0.777320,0.616947,0.731300,1.000000e-01
6,0.460607,0.796820,0.693850,0.684700,1.000000e-01
7,0.428336,0.812700,0.584148,0.744200,1.000000e-01
8,0.406797,0.823520,0.541567,0.770000,1.000000e-01
9,0.384271,0.832540,0.430358,0.815400,1.000000e-01
10,0.370784,0.840220,0.425500,0.816800,1.000000e-01
11,0.352537,0.848440,0.398515,0.828200,1.000000e-01
12,0.344634,0.852720,0.370315,0.842300,1.000000e-01
13,0.337468,0.855020,0.413627,0.821300,1.000000e-01
14,0.327405,0.859900,0.361690,0.845000,1.000000e-01
15,0.318217,0.865480,0.357734,0.849300,1.000000e-01
16,0.307532,0.868940,0.385586,0.838700,1.000000e-01
17,0.306293,0.869400,0.310176,0.866600,1.000000e-01
18,0.303070,0.870960,0.368173,0.844000,1.000000e-01
19,0.291254,0.877980,0.332263,0.855200,1.000000e-01
20,0.288462,0.878960,0.332004,0.856600,1.000000e-01
21,0.286443,0.878340,0.327763,0.859500,1.000000e-01
22,0.281925,0.880640,0.304686,0.870200,1.000000e-01
23,0.274572,0.884300,0.376581,0.838400,1.000000e-01
24,0.274939,0.883540,0.324537,0.862800,1.000000e-01
25,0.271130,0.886960,0.372902,0.842700,1.000000e-01
26,0.270899,0.885880,0.264259,0.887300,1.000000e-01
27,0.267101,0.887840,0.442015,0.812900,1.000000e-01
28,0.262114,0.890500,0.384933,0.839400,1.000000e-01
29,0.263853,0.888120,0.254478,0.889500,1.000000e-01
30,0.259942,0.891880,0.264738,0.889400,1.000000e-01
31,0.157126,0.938640,0.143128,0.941100,2.000000e-02
32,0.128786,0.950760,0.136599,0.940600,2.000000e-02
33,0.117803,0.955840,0.128927,0.945900,2.000000e-02
34,0.108862,0.958980,0.131967,0.944000,2.000000e-02
35,0.104385,0.960980,0.124634,0.949400,2.000000e-02
36,0.099701,0.963100,0.130015,0.942700,2.000000e-02
37,0.100174,0.962100,0.123393,0.948600,2.000000e-02
38,0.095770,0.964860,0.127037,0.947000,2.000000e-02
39,0.095567,0.964100,0.128143,0.946900,2.000000e-02
40,0.094273,0.965560,0.137816,0.942800,2.000000e-02
41,0.093738,0.965440,0.144274,0.936100,2.000000e-02
42,0.090567,0.966800,0.133886,0.941800,2.000000e-02
43,0.089592,0.967720,0.134106,0.943100,2.000000e-02
44,0.091802,0.966460,0.136131,0.943600,2.000000e-02
45,0.090170,0.966200,0.144217,0.938100,2.000000e-02
46,0.091561,0.966600,0.150774,0.934400,2.000000e-02
47,0.092952,0.965200,0.137059,0.942500,2.000000e-02
48,0.092639,0.966080,0.138091,0.940500,2.000000e-02
49,0.090398,0.966400,0.145888,0.941800,2.000000e-02
50,0.091771,0.966500,0.145446,0.939700,2.000000e-02
51,0.088614,0.967720,0.132097,0.944800,2.000000e-02
52,0.088660,0.967200,0.139830,0.942100,2.000000e-02
53,0.086851,0.968460,0.148511,0.935100,2.000000e-02
54,0.088062,0.968080,0.130945,0.946000,2.000000e-02
55,0.088634,0.967500,0.145540,0.940300,2.000000e-02
56,0.086867,0.968300,0.129024,0.944800,2.000000e-02
57,0.085261,0.969180,0.147198,0.935600,2.000000e-02
58,0.085928,0.968460,0.138929,0.940600,2.000000e-02
59,0.084398,0.969400,0.138801,0.941100,2.000000e-02
60,0.085224,0.968720,0.143424,0.941200,2.000000e-02
61,0.054171,0.982180,0.095458,0.958300,4.000000e-03
62,0.042457,0.986720,0.090245,0.959600,4.000000e-03
63,0.039355,0.987360,0.091185,0.962000,4.000000e-03
64,0.037000,0.988640,0.088662,0.961900,4.000000e-03
65,0.034215,0.990000,0.089203,0.961400,4.000000e-03
66,0.033721,0.989580,0.088273,0.962900,4.000000e-03
67,0.032602,0.989860,0.086416,0.962700,4.000000e-03
68,0.032427,0.989900,0.087634,0.963300,4.000000e-03
69,0.031271,0.990520,0.086994,0.963400,4.000000e-03
70,0.031769,0.990440,0.084829,0.963600,4.000000e-03
