epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.295176,0.366620,1.009433,0.510200,1.000000e-01
2,0.924766,0.566000,0.902796,0.602400,1.000000e-01
3,0.732280,0.667300,0.804361,0.640100,1.000000e-01
4,0.604142,0.733240,0.599114,0.735400,1.000000e-01
5,0.527596,0.768460,0.567702,0.752400,1.000000e-01
6,0.479120,0.792700,0.762720,0.652700,1.000000e-01
7,0.442688,0.808500,0.563991,0.746100,1.000000e-01
8,0.417951,0.821640,0.544176,0.763900,1.000000e-01
9,0.393516,0.831600,0.386601,0.837300,1.000000e-01
10,0.373523,0.841860,0.450544,0.809100,1.000000e-01
11,0.357235,0.848020,0.371033,0.842700,1.000000e-01
12,0.344329,0.853940,0.397248,0.829600,1.000000e-01
13,0.339797,0.856760,0.341591,0.854500,1.000000e-01
14,0.327291,0.861980,0.338867,0.857400,1.000000e-01
15,0.318180,0.866820,0.301880,0.871200,1.000000e-01
16,0.309605,0.870740,0.354887,0.847400,1.000000e-01
17,0.304074,0.873980,0.328285,0.865000,1.000000e-01
18,0.301517,0.874120,0.340276,0.853100,1.000000e-01
19,0.289769,0.880520,0.362424,0.848400,1.000000e-01
20,0.288200,0.880620,0.302405,0.876800,1.000000e-01
21,0.285146,0.881260,0.319151,0.863800,1.000000e-01
22,0.277897,0.886300,0.285779,0.879300,1.000000e-01
23,0.270466,0.888220,0.354003,0.842900,1.000000e-01
24,0.270623,0.888340,0.338938,0.852800,1.000000e-01
25,0.268450,0.890780,0.363842,0.838600,1.000000e-01
26,0.267054,0.890600,0.312857,0.865400,1.000000e-01
27,0.263158,0.892980,0.351675,0.854400,1.000000e-01
28,0.257819,0.895420,0.349154,0.851500,1.000000e-01
29,0.257614,0.894700,0.259802,0.890500,1.000000e-01
30,0.254822,0.895520,0.276837,0.881300,1.000000e-01
31,0.160532,0.938920,0.143723,0.940000,2.000000e-02
32,0.135969,0.949840,0.136748,0.942300,2.000000e-02
33,0.124009,0.955560,0.129154,0.948000,2.000000e-02
34,0.115682,0.959060,0.128417,0.946200,2.000000e-02
35,0.111291,0.960080,0.128971,0.946000,2.000000e-02
36,0.106728,0.962100,0.129602,0.946100,2.000000e-02
37,0.106472,0.962620,0.123111,0.950600,2.000000e-02
38,0.100705,0.965320,0.130033,0.948200,2.000000e-02
39,0.101269,0.964500,0.129782,0.946500,2.000000e-02
40,0.098239,0.966920,0.134764,0.943300,2.000000e-02
41,0.098818,0.965240,0.134187,0.944500,2.000000e-02
42,0.094779,0.967620,0.142891,0.937900,2.000000e-02
43,0.093436,0.968100,0.146595,0.938400,2.000000e-02
44,0.096518,0.967360,0.128308,0.946600,2.000000e-02
45,0.093347,0.967900,0.133141,0.945300,2.000000e-02
46,0.096599,0.966580,0.126932,0.946700,2.000000e-02
47,0.095270,0.966780,0.136761,0.940600,2.000000e-02
48,0.094059,0.968520,0.132658,0.944500,2.000000e-02
49,0.091349,0.969440,0.124684,0.946200,2.000000e-02
50,0.094202,0.967320,0.150173,0.940100,2.000000e-02
51,0.089839,0.969780,0.134282,0.945400,2.000000e-02
52,0.092125,0.968500,0.130260,0.946700,2.000000e-02
53,0.088382,0.970520,0.154740,0.934600,2.000000e-02
54,0.089077,0.969620,0.135545,0.942100,2.000000e-02
55,0.088712,0.969480,0.144527,0.937800,2.000000e-02
56,0.087870,0.970280,0.130902,0.946900,2.000000e-02
57,0.086393,0.970620,0.134659,0.942100,2.000000e-02
58,0.086506,0.970500,0.149711,0.936800,2.000000e-02
59,0.085307,0.971040,0.130762,0.945400,2.000000e-02
60,0.087668,0.971060,0.142072,0.941400,2.000000e-02
61,0.056273,0.982840,0.092129,0.962000,4.000000e-03
62,0.046282,0.986700,0.087870,0.963600,4.000000e-03
63,0.042785,0.987680,0.087521,0.964300,4.000000e-03
64,0.040743,0.988320,0.086043,0.965100,4.000000e-03
65,0.037227,0.990240,0.085223,0.964400,4.000000e-03
66,0.036430,0.989900,0.084978,0.966000,4.000000e-03
67,0.036316,0.989900,0.084511,0.964500,4.000000e-03
68,0.036299,0.989540,0.083928,0.967200,4.000000e-03
69,0.034883,0.990200,0.083727,0.967200,4.000000e-03
70,0.035071,0.990260,0.083286,0.965300,4.000000e-03
71,0.032849,0.991080,0.082931,0.966900,4.000000e-03
72,0.033087,0.991240,0.084936,0.965900,4.000000e-03
73,0.033605,0.990320,0.081023,0.965300,4.000000e-03
74,0.030882,0.991740,0.082282,0.966300,4.000000e-03
75,0.030663,0.991780,0.082443,0.967000,4.000000e-03
76,0.030795,0.991600,0.082170,0.967300,4.000000e-03
77,0.030517,0.991500,0.082206,0.967100,4.000000e-03
78,0.030400,0.991580,0.082506,0.965600,4.000000e-03
79,0.029386,0.992100,0.083993,0.966600,4.000000e-03
80,0.029543,0.992380,0.082892,0.966000,4.000000e-03
81,0.027133,0.992900,0.078298,0.967200,8.000000e-04
82,0.026777,0.992900,0.077822,0.968000,8.000000e-04
83,0.026129,0.992620,0.077321,0.967700,8.000000e-04
84,0.024428,0.993440,0.077751,0.967900,8.000000e-04
85,0.023709,0.994000,0.077958,0.968200,8.000000e-04
86,0.025609,0.992760,0.077538,0.968700,8.000000e-04
87,0.024214,0.993520,0.077807,0.969200,8.000000e-04
88,0.024252,0.993900,0.078290,0.968300,8.000000e-04
89,0.025518,0.993280,0.076406,0.968800,8.000000e-04
90,0.023495,0.993460,0.076782,0.968500,8.000000e-04
91,0.023543,0.993940,0.077107,0.968800,8.000000e-04
92,0.022499,0.994140,0.076862,0.968700,8.000000e-04
93,0.023424,0.993800,0.076082,0.968300,8.000000e-04
94,0.023353,0.994380,0.077403,0.968200,8.000000e-04
95,0.023415,0.993780,0.076360,0.969100,8.000000e-04
96,0.022960,0.993980,0.075777,0.968100,8.000000e-04
97,0.022790,0.994080,0.075528,0.969800,8.000000e-04
98,0.023449,0.993700,0.076145,0.968700,8.000000e-04
99,0.022362,0.994180,0.076337,0.969100,8.000000e-04
99,0.022466,0.994300,0.075830,0.969200,8.000000e-04
