epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,1.181133,0.431720,1.141191,0.493300,1.000000e-01
2,0.819135,0.621900,0.797877,0.648200,1.000000e-01
3,0.655419,0.705580,0.643857,0.706800,1.000000e-01
4,0.562316,0.750660,0.591805,0.744500,1.000000e-01
5,0.507195,0.773960,0.533956,0.767900,1.000000e-01
6,0.470005,0.789480,0.730181,0.679100,1.000000e-01
7,0.441552,0.802960,0.583865,0.742900,1.000000e-01
8,0.423292,0.813640,0.542765,0.764700,1.000000e-01
9,0.409526,0.820100,0.530469,0.771800,1.000000e-01
10,0.391463,0.826880,0.438354,0.809400,1.000000e-01
11,0.379540,0.832120,0.574165,0.755200,1.000000e-01
12,0.374920,0.835780,0.428388,0.810700,1.000000e-01
13,0.367310,0.839660,0.441877,0.810900,1.000000e-01
14,0.359061,0.843080,0.586785,0.758700,1.000000e-01
15,0.351722,0.846520,0.521581,0.778400,1.000000e-01
16,0.344272,0.850000,0.536935,0.783600,1.000000e-01
17,0.339616,0.851120,0.343312,0.854000,1.000000e-01
18,0.335980,0.854700,0.461943,0.807100,1.000000e-01
19,0.327742,0.857940,0.368619,0.843800,1.000000e-01
20,0.326406,0.857360,0.357994,0.849800,1.000000e-01
21,0.324785,0.859240,0.507580,0.789600,1.000000e-01
22,0.319854,0.861280,0.340859,0.859800,1.000000e-01
23,0.312776,0.862880,0.477152,0.796800,1.000000e-01
24,0.316071,0.860820,0.454133,0.813100,1.000000e-01
25,0.310573,0.865320,0.570548,0.765900,1.000000e-01
26,0.313160,0.862180,0.334780,0.856900,1.000000e-01
27,0.306663,0.865940,0.418057,0.819200,1.000000e-01
28,0.302704,0.868820,0.445872,0.809700,1.000000e-01
29,0.303129,0.867220,0.361152,0.845000,1.000000e-01
30,0.305591,0.866080,0.357070,0.853100,1.000000e-01
31,0.175298,0.926660,0.162542,0.933000,2.000000e-02
32,0.146094,0.939200,0.150412,0.938800,2.000000e-02
33,0.133004,0.944780,0.155887,0.935400,2.000000e-02
34,0.126106,0.947660,0.174046,0.927300,2.000000e-02
35,0.121170,0.950300,0.151282,0.936700,2.000000e-02
